path,label,origin,prompt,seed,lap_var,phash,attempt,face_detected
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000000_seed20250924.png,angry,synthetic,"portrait photo of a person showing anger, tense eyebrows, intense gaze, dramatic lighting, neutral background, ultra detailed, photorealistic",20250924,275.29936546467087,95ad86f54a73d2976d98245c29c6e3c492f23c4f68da232d49b28d24734fb9c9,0,True
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000001_seed20250926.png,angry,synthetic,"portrait photo of a person showing anger, tense eyebrows, intense gaze, dramatic lighting, neutral background, high detail skin texture",20250926,152.96902972804858,e1fb98785a24960c96a3c787258d665961ad79c31e7230665997f938469f671c,2,True
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000002_seed20250929.png,angry,synthetic,"portrait photo of a person showing anger, tense eyebrows, intense gaze, dramatic lighting, neutral background, ultra detailed, photorealistic",20250929,283.00417871844616,b0b32cb0f70c63cbcf53324c6ecccd33c9b2cd2c12ec3973d1b38d32c44264db,5,True
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000003_seed20250932.png,angry,synthetic,"portrait photo of a person showing anger, tense eyebrows, intense gaze, dramatic lighting, neutral background, professional portrait",20250932,471.8835753488918,bd69b10d64963484487ea61b70d60d6edac8093b73b8b01b67e69e5b93d864b6,8,True
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000004_seed20250933.png,angry,synthetic,"portrait photo of a person showing anger, tense eyebrows, intense gaze, dramatic lighting, neutral background, dslr, crisp details",20250933,292.19075972117366,cd4c0bebb7334fa0f0ec3c1e0387b5e0ce333916330c22e730f23c9e0e3e372b,9,True
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000005_seed20250934.png,angry,synthetic,"portrait photo of a person showing anger, tense eyebrows, intense gaze, dramatic lighting, neutral background, ultra detailed, photorealistic",20250934,326.73259586555065,9777bd445899943a6a4e7be03932b699c8ec6ee039e666624b11939cb48bb1aa,10,True
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000006_seed20250937.png,angry,synthetic,"portrait photo of a person showing anger, tense eyebrows, intense gaze, dramatic lighting, neutral background, professional portrait",20250937,183.63238743015847,bc2fcd0fcf0d50f2ce764f3cdbcb22c36db030f41739cb2c8cc3638c26312730,13,True
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000007_seed20250942.png,angry,synthetic,"portrait photo of a person showing anger, tense eyebrows, intense gaze, dramatic lighting, neutral background, professional portrait",20250942,292.61826313817966,f32a4e33aa716ce5a94a2dda6cd995a595a5999256d46ad64a56936a9345516c,18,True
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000008_seed20250943.png,angry,synthetic,"portrait photo of a person showing anger, tense eyebrows, intense gaze, dramatic lighting, neutral background, dslr, crisp details",20250943,306.4163181216753,e4933d1c136c63e1d9e2f6c4cd96cf3bc79e249326788ccdc678660c3266a670,19,True
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000009_seed20250946.png,angry,synthetic,"portrait photo of a person showing anger, tense eyebrows, intense gaze, dramatic lighting, neutral background, high detail skin texture",20250946,336.00100114394206,be156cc7606a279865e1f60f938596b1db13de4e9a469e1a4c49c978c6398dac,22,True
